warning_id,item_code,item_description,warehouse,bin,current_quantity,fifo_quantity,ledger_quantity,difference,value_difference,root_cause,management_decision,business_explanation,evidence_reference,reviewed_by,approved_by,resolution_status
"41","ITM-041","Ear Muff","Main Warehouse","","232","232","116","116","5193.320000000001","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"42","ITM-042","Nitrile Coated Work Gloves","Main Warehouse","","836","836","418","418","3435.9600000000005","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"43","ITM-043","Leather Welding Gloves","Main Warehouse","","252","252","126","126","2898","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"44","ITM-044","Disposable Nitrile Gloves","Main Warehouse","","96","96","48","48","1450.56","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"45","ITM-045","Safety Shoes Steel Toe","Main Warehouse","","300","300","150","150","22873.5","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"46","ITM-046","Disposable Dust Mask","Main Warehouse","","2490","2490","1245","1245","2477.55","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"47","ITM-047","Half Face Reusable Respirator","Main Warehouse","","40","40","20","20","2470","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"48","ITM-048","Respirator Filter Cartridge Pair","Main Warehouse","","190","190","95","95","6853.3","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"49","ITM-049","Welding Face Shield","Main Warehouse","","12","12","6","6","541.5","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"50","ITM-050","Safety Harness Full Body","Main Warehouse","","68","68","34","34","9925.62","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"51","ITM-051","Claw Hammer 16oz","Maintenance Store","","6","6","3","3","166.02","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
"52","ITM-052","Combination Spanner Set 8-24mm","Maintenance Store","","34","34","17","17","2027.25","Pre-Ledger Transaction","","","","","","UNDER INVESTIGATION"
