"warning_id","item_code","item_name","warehouse_name","bin_code","current_quantity","fifo_quantity","ledger_quantity","quantity_difference","current_value","ledger_value","value_difference","earliest_relevant_transaction","earliest_ledger_transaction","opening_balance_record","root_cause_classification","supporting_evidence","financial_impact","inventory_impact","risk_level","recommended_resolution","approval_required","resolution_status"
"12","ITM-012","Prestressing Strand 12.7mm","Main Warehouse","","4500","4500","2250","2250","19305","9652.5","9652.5","2026-05-22","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"13","ITM-013","Prestressing Strand 15.2mm","Main Warehouse","","13580","13580","6790","6790","58394","29197","29197","2026-03-23","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"14","ITM-014","Concrete Superplasticizer","Main Warehouse","","740","740","370","370","5046.8","2523.4","2523.4","2026-01-03","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"15","ITM-015","Concrete Retarder Admixture","Main Warehouse","","720","720","360","360","5025.6","2512.8","2512.8","2026-03-24","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"16","ITM-016","Concrete Accelerator Admixture","Main Warehouse","","340","340","170","170","2730.2","1365.1","1365.1","2026-02-13","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"17","ITM-017","Mould Release Agent","Production Store","","1980","1980","990","990","11365.2","5682.6","5682.6","2026-04-09","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"18","ITM-018","Concrete Curing Compound","Production Store","","2420","2420","1210","1210","18682.399999999998","9341.199999999999","9341.199999999999","2026-03-03","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"19","ITM-019","Non-Shrink Grout 25kg","Production Store","","1960","1960","980","980","5331.200000000001","2665.6000000000004","2665.6000000000004","2026-01-19","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"20","ITM-020","Epoxy Repair Mortar Kit","Production Store","","124","124","62","62","23080.12","11540.06","11540.06","2026-07-01","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"21","ITM-021","Binding Wire 1.2mm","Production Store","","380","380","190","190","1660.6000000000001","830.3000000000001","830.3000000000001","2026-02-26","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"22","ITM-022","Welding Electrode E6013 3.2mm","Production Store","","626","626","313","313","6936.08","3468.04","3468.04","2026-07-14","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"23","ITM-023","Welding Electrode E7018 4.0mm","Production Store","","330","330","165","165","5075.400000000001","2537.7000000000003","2537.7000000000003","2026-04-29","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"24","ITM-024","Cutting Disc 115mm","Production Store","","112","112","56","56","534.24","267.12","267.12","2026-01-29","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"25","ITM-025","Grinding Disc 115mm","Production Store","","302","302","151","151","2986.78","1493.39","1493.39","2026-05-11","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"26","ITM-026","Flap Disc 115mm 60 Grit","Production Store","","82","82","41","41","1608.8400000000001","804.4200000000001","804.4200000000001","2026-06-26","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"27","ITM-027","Diamond Cutting Blade 230mm","Production Store","","30","30","15","15","2607.9","1303.95","1303.95","2026-02-04","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"28","ITM-028","Silicone Sealant 300ml","Production Store","","78","78","39","39","1390.7399999999998","695.3699999999999","695.3699999999999","2026-06-30","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"29","ITM-029","Polyurethane Sealant 600ml","Production Store","","446","446","223","223","14049","7024.5","7024.5","2026-07-12","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"30","ITM-030","Industrial Grease 18kg","Maintenance Store","","424","424","212","212","7470.88","3735.44","3735.44","2026-01-31","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"31","ITM-031","Hydraulic Oil ISO VG 46","Maintenance Store","","2200","2200","1100","1100","27808","13904","13904","2026-02-07","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"32","ITM-032","Gear Oil ISO VG 220","Maintenance Store","","722","722","361","361","11277.64","5638.82","5638.82","2026-01-08","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"33","ITM-033","Multipurpose Penetrating Spray","Maintenance Store","","88","88","44","44","2593.3599999999997","1296.6799999999998","1296.6799999999998","2026-03-17","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"34","ITM-034","Industrial Cleaning Degreaser","Maintenance Store","","248","248","124","124","2323.7599999999998","1161.8799999999999","1161.8799999999999","2026-06-27","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"35","ITM-035","Cotton Cleaning Rags","Maintenance Store","","18","18","9","9","146.16","73.08","73.08","2026-05-17","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"36","ITM-036","Safety Helmet","Main Warehouse","","68","68","34","34","2429.64","1214.82","1214.82","2026-04-06","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"37","ITM-037","High Visibility Safety Vest","Main Warehouse","","630","630","315","315","19422.899999999998","9711.449999999999","9711.449999999999","2026-06-19","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"38","ITM-038","Safety Glasses Clear","Main Warehouse","","966","966","483","483","7853.580000000001","3926.7900000000004","3926.7900000000004","2026-02-02","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"39","ITM-039","Chemical Splash Goggles","Main Warehouse","","196","196","98","98","5168.52","2584.26","2584.26","2026-05-18","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"40","ITM-040","Ear Plug Disposable Pair","Main Warehouse","","1960","1960","980","980","2410.8","1205.4","1205.4","2026-07-17","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"41","ITM-041","Ear Muff","Main Warehouse","","232","232","116","116","10386.640000000001","5193.320000000001","5193.320000000001","2026-05-04","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"42","ITM-042","Nitrile Coated Work Gloves","Main Warehouse","","836","836","418","418","6871.920000000001","3435.9600000000005","3435.9600000000005","2026-07-11","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"43","ITM-043","Leather Welding Gloves","Main Warehouse","","252","252","126","126","5796","2898","2898","2026-01-13","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"44","ITM-044","Disposable Nitrile Gloves","Main Warehouse","","96","96","48","48","2901.12","1450.56","1450.56","2026-07-10","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"45","ITM-045","Safety Shoes Steel Toe","Main Warehouse","","300","300","150","150","45747","22873.5","22873.5","2026-04-23","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"46","ITM-046","Disposable Dust Mask","Main Warehouse","","2490","2490","1245","1245","4955.1","2477.55","2477.55","2026-03-27","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"47","ITM-047","Half Face Reusable Respirator","Main Warehouse","","40","40","20","20","4940","2470","2470","2026-04-29","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"48","ITM-048","Respirator Filter Cartridge Pair","Main Warehouse","","190","190","95","95","13706.6","6853.3","6853.3","2026-07-05","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"49","ITM-049","Welding Face Shield","Main Warehouse","","12","12","6","6","1083","541.5","541.5","2026-01-17","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"50","ITM-050","Safety Harness Full Body","Main Warehouse","","68","68","34","34","19851.24","9925.62","9925.62","2026-07-14","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"51","ITM-051","Claw Hammer 16oz","Maintenance Store","","6","6","3","3","332.04","166.02","166.02","2026-02-17","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
"52","ITM-052","Combination Spanner Set 8-24mm","Maintenance Store","","34","34","17","17","4054.5","2027.25","2027.25","2026-03-21","2026-08-09 08:46:36","Stock existed before earliest retained ledger activity","Pre-Ledger Transaction","","Value difference is recorded; Finance review required before disposition","No current quantity impact because stock and FIFO reconcile","HIGH","Verify original opening/import evidence; approve a legacy exception or post a controlled prospective adjustment only when evidence requires it","1","UNDER INVESTIGATION"
